codigo_def	UTM x	UTM y
AL177	502419,3389	4689079,128
AL285	495208,5397	4692054,325
AL296	495891,8458	4690805,012
AL339	494907,6201	4693756,724
AL357	496574,8761	4692123,69
AL359	496621,1602	4691867,4
AL389	498338,2664	4693840,982
AL392	498268,8709	4693925,278
AL424	492366,6606	4693950,106
AL439	492588,2509	4693730,326
AL448	492060,1271	4694294,705
AL301	495924,3052	4690728,198
AL1	509240,5104	4680793,651
AL2	506568,1104	4680866,051
AL3	509393,3963	4680870,517
AL4	509486,8745	4681204,226
AL5	509127,5033	4681276,393
AL6	508703,3105	4681293,48
AL7	508958,1804	4681420,799
AL8	509059,1641	4681788,863
AL9	508169,4604	4681966,001
AL10	508993,8722	4682177,988
AL11	506341,3104	4680391,151
AL12	507942,2104	4681952,751
AL13	506255,5329	4681050,597
AL14	507589,3104	4682339,551
AL15	507312,1604	4681773,801
AL16	512890,2604	4690898,301
AL17	506156,6604	4679589,651
AL18	512648,9604	4690614,201
AL19	507386,0604	4682325,301
AL20	506683,1104	4682527,801
AL21	508131,1583	4683707,687
AL22	507512,6104	4683435,551
AL23	508368,9133	4680429,224
AL24	503876,2104	4678529,901
AL25	512092,2104	4690173,051
AL26	512036,8104	4690184,051
AL27	503719,8604	4680712,901
AL28	510233,8104	4681834,851
AL29	506277,9604	4678891,751
AL30	503914,6604	4681548,551
AL31	511791,6104	4689733,351
AL32	507733,7466	4684542,241
AL33	501477,1604	4681148,701
AL34	512008,8104	4689761,951
AL35	504903,6705	4681153,614
AL36	499532,2104	4679866,301
AL37	511417,3604	4689641,851
AL38	505124,9604	4680939,801
AL39	499469,7104	4679886,401
AL40	499058,6604	4680200,901
AL41	508019,3069	4685027,99
AL42	498931,1604	4680459,151
AL43	498598,2604	4680709,451
AL44	498959,9104	4680384,151
AL45	499156,1604	4681066,251
AL46	498561,4604	4680844,651
AL47	507978,4839	4685061,726
AL48	498513,5604	4679718,001
AL49	499063,2104	4681070,301
AL50	507210,8604	4685143,951
AL51	507450,6604	4685194,751
AL52	498565,6604	4680897,851
AL53	499146,8604	4681141,751
AL54	498636,1104	4680837,301
AL55	498696,9104	4680731,901
AL56	498584,1604	4680945,851
AL57	507872,964	4685213,781
AL58	498853,1604	4681355,751
AL59	497725,4104	4680389,351
AL60	498671,3104	4681777,101
AL61	505927,5008	4683301,343
AL62	501616,8604	4683476,251
AL63	498205,8104	4682164,201
AL64	507017,3604	4685518,801
AL65	498338,2104	4681864,551
AL66	502866,6604	4681648,351
AL67	499684,3604	4685024,101
AL68	499233,1104	4682835,301
AL69	505443,9604	4684618,951
AL70	506970,3604	4685560,801
AL71	498354,0604	4681744,951
AL72	504190,9581	4681839,363
AL73	507084,3604	4685590,801
AL74	498045,5604	4681919,951
AL75	507040,3604	4685622,801
AL76	498197,4604	4681802,951
AL77	502643,1604	4681998,351
AL78	497862,5604	4682046,001
AL79	497716,6604	4679947,351
AL80	497274,1104	4680543,301
AL81	498331,3104	4683211,751
AL82	497834,4104	4682169,001
AL83	509659,6604	4684314,351
AL84	498146,0604	4681929,951
AL85	497497,8104	4682249,301
AL86	504595,2766	4681921,044
AL87	497592,3104	4684410,551
AL88	497877,3104	4682303,251
AL89	497372,4604	4682596,401
AL90	508648,2604	4685029,951
AL91	497656,5604	4682657,551
AL92	497727,8104	4682666,301
AL93	497194,6604	4682266,501
AL94	497439,0604	4682753,551
AL95	496581,1104	4683624,551
AL96	497061,8604	4682326,051
AL97	499472,2604	4686757,651
AL98	499526,0104	4686680,151
AL99	510401,5604	4683273,351
AL100	501035,9604	4686600,501
AL101	497003,1104	4682504,051
AL102	510674,5604	4683249,851
AL103	496776,0104	4680006,201
AL104	496704,7604	4680007,951
AL105	508373,3161	4685369,05
AL106	497341,5604	4682893,801
AL107	505022,9604	4682802,051
AL108	496187,1104	4683259,801
AL109	502734,0354	4683642,701
AL110	511269,3604	4689612,101
AL111	496668,5104	4679995,701
AL112	496766,8104	4684235,851
AL113	496744,8604	4683780,051
AL114	496738,8104	4684230,101
AL115	496229,1104	4682362,301
AL116	496700,8104	4684276,351
AL117	501497,4604	4684440,501
AL118	497973,3604	4686309,201
AL119	509363,8604	4684871,701
AL120	501576,7104	4684523,501
AL121	503845,5104	4687110,101
AL122	500936,9104	4683901,951
AL123	511317,2104	4690419,001
AL124	495771,8604	4685802,451
AL125	507764,6104	4685903,451
AL126	501251,2604	4688213,201
AL127	498850,1604	4687347,701
AL128	509242,0104	4684943,801
AL129	494811,7104	4684194,201
AL130	503716,7604	4683493,301
AL131	501406,2604	4688543,201
AL132	503672,9104	4683574,401
AL133	496089,1604	4687558,101
AL134	511579,7104	4682932,801
AL135	495357,1104	4685167,751
AL136	501363,2604	4688759,201
AL137	501800,1104	4684571,851
AL138	503547,2604	4688017,101
AL139	501376,2604	4688789,701
AL140	494231,8604	4686131,801
AL141	504459,7604	4687916,751
AL142	502809,8104	4684214,951
AL143	495851,3604	4681026,301
AL144	500516,9104	4687042,051
AL145	494593,7104	4684059,201
AL146	505168,9612	4683162,692
AL147	501975,6104	4684513,351
AL148	502372,6104	4684569,351
AL149	503487,5104	4687276,601
AL150	504564,6604	4688017,701
AL151	504678,0104	4688020,151
AL152	511674,3604	4683038,251
AL153	493874,8604	4686315,301
AL154	502009,1604	4684657,351
AL155	511594,3104	4683147,551
AL156	493312,8604	4687438,301
AL157	511989,3604	4692422,851
AL158	495502,3604	4681583,301
AL159	501600,1604	4685274,851
AL160	510604,8845	4684414,248
AL161	503307,9372	4688704,673
AL162	503305,9565	4688757,135
AL163	494780,8604	4688032,301
AL164	492892,1104	4687928,551
AL165	495479,1104	4687488,201
AL166	502612,9104	4685142,851
AL167	510624,2861	4684487,356
AL168	495335,8604	4687914,301
AL169	495348,8604	4687873,301
AL170	502611,4104	4685199,851
AL171	493383,8604	4686629,301
AL172	492703,2354	4687079,426
AL173	492927,6104	4688789,301
AL174	502403,3351	4689014,258
AL175	493211,8604	4687022,301
AL176	502159,4177	4689186,287
AL178	496327,7604	4679078,451
AL179	499843,7104	4690437,701
AL180	502529,9111	4688810,455
AL181	498716,4104	4689039,551
AL182	505234,3104	4688309,701
AL183	492821,2354	4687141,926
AL184	491481,4104	4685182,151
AL185	498634,1604	4689092,301
AL186	505278,0604	4688308,951
AL187	491055,9104	4685115,651
AL188	491530,3604	4690198,301
AL189	511782,4104	4683886,451
AL190	495008,0604	4689704,451
AL191	501274,0024	4690123,683
AL192	492826,2354	4687198,926
AL193	497935,3604	4689928,551
AL194	509657,5604	4688330,201
AL195	501357,8826	4689704,465
AL196	508946,7604	4688933,201
AL197	508408,9604	4685854,951
AL198	496342,1104	4688780,301
AL199	505319,0604	4688527,901
AL200	492052,4354	4689521,976
AL201	490871,4854	4687499,426
AL202	491095,9104	4684892,151
AL203	493024,8604	4687421,301
AL204	494717,2104	4690286,551
AL205	490370,1104	4685296,551
AL206	494759,0604	4690486,951
AL207	491759,5854	4689095,626
AL208	497216,6104	4689832,301
AL209	490863,1854	4687623,976
AL210	502825,1604	4687892,351
AL211	511700,7618	4684234,077
AL212	497564,8604	4689961,551
AL213	491425,0854	4689626,126
AL214	502692,6604	4686036,301
AL215	494970,272	4688429,296
AL216	489440,0104	4686021,151
AL217	490116,6104	4685462,051
AL218	502718,4604	4686012,501
AL219	500514,0104	4692270,751
AL220	496995,3604	4689886,801
AL221	495186,9104	4689750,101
AL222	502766,4422	4689987,24
AL223	490187,2724	4693659,252
AL224	497773,8604	4690164,551
AL225	488630,7604	4686332,401
AL226	488587,2604	4686287,651
AL227	498635,7104	4690775,151
AL228	490201,1854	4687752,226
AL229	494783,1104	4691047,051
AL230	490354,7988	4693411,183
AL231	497449,8604	4688741,601
AL232	490585,7354	4687733,876
AL233	494896,6104	4691495,301
AL234	489222,0604	4686451,751
AL235	493077,4604	4683819,701
AL236	494235,8604	4680170,551
AL237	494674,6104	4690954,051
AL238	503125,2104	4686576,401
AL239	497095,8604	4689086,051
AL240	502582,2104	4692173,351
AL241	488050,1604	4686453,701
AL242	494617,3604	4689655,701
AL243	489718,9854	4693574,176
AL244	498765,3604	4690668,301
AL245	494651,3604	4691598,301
AL246	495662,3604	4689358,051
AL247	495595,8604	4680015,051
AL248	500414,5604	4693056,751
AL249	489971,3604	4694722,801
AL250	493614,6104	4690916,151
AL251	503684,5104	4690420,951
AL252	500088,0104	4692789,251
AL253	491934,4854	4690341,926
AL254	498021,3104	4692187,201
AL255	493643,1104	4690988,651
AL256	494566,3604	4691764,301
AL257	498327,3604	4692150,301
AL258	494913,8104	4692389,701
AL259	493888,6104	4690620,901
AL260	495605,8604	4690121,801
AL261	494541,1104	4691076,051
AL262	492024,6604	4683859,901
AL263	498720,1589	4691663,644
AL264	494052,1604	4682515,051
AL265	493824,5604	4689772,701
AL266	493093,2104	4689685,601
AL267	498636,7398	4692165,198
AL268	493373,6104	4682898,451
AL269	495846,8604	4690178,801
AL270	489508,2354	4693961,426
AL271	489463,6104	4693961,551
AL272	494208,8604	4681347,251
AL273	497566,3604	4688968,051
AL274	496530,3604	4689961,051
AL275	503560,3104	4690630,501
AL276	490265,4553	4690060,772
AL277	501101,3604	4692201,801
AL278	494684,4604	4690794,851
AL279	492254,1104	4690564,051
AL280	490577,4854	4684971,776
AL281	494386,3104	4689772,451
AL282	494337,3604	4691718,301
AL283	494935,6104	4680901,301
AL284	489146,1104	4694299,051
AL286	494714,5604	4692510,201
AL287	492383,0354	4687832,576
AL288	499754,3604	4693018,751
AL289	493264,6104	4690976,651
AL290	497874,4604	4693085,551
AL291	507956,2104	4688412,051
AL292	501150,8604	4692271,801
AL293	491605,7854	4688372,626
AL294	507951,7104	4688409,801
AL295	493107,6104	4690784,651
AL297	495123,6104	4691456,051
AL298	493038,1104	4690693,651
AL299	497911,4104	4693128,451
AL300	508229,9104	4690372,551
AL302	495936,7145	4691205,834
AL303	490655,2854	4689441,926
AL304	494271,4604	4690910,651
AL305	489261,3604	4693902,301
AL306	489346,6104	4695683,801
AL307	488367,1104	4693171,801
AL308	496156,2106	4691097,106
AL309	494326,6104	4692104,301
AL310	493146,3604	4691743,801
AL311	491146,9104	4684337,151
AL312	488782,9854	4694336,676
AL313	498013,8104	4693347,151
AL314	488651,6104	4694378,051
AL315	495350,6705	4693184,948
AL316	488460,7354	4693500,426
AL317	488481,9854	4693581,676
AL318	489336,4854	4693610,176
AL319	488688,7354	4694231,676
AL320	488614,6104	4694295,551
AL321	489363,6104	4693467,051
AL322	494293,1267	4692889,256
AL323	489339,0354	4689606,426
AL324	487506,0104	4690369,376
AL325	494241,1104	4692096,301
AL326	494167,1104	4691043,151
AL327	493019,1104	4691914,051
AL328	494209,8604	4692232,551
AL329	488360,6104	4693797,801
AL330	498088,6104	4693454,301
AL331	508312,4604	4687993,251
AL332	508288,4604	4688064,001
AL333	492930,6104	4691886,051
AL334	488904,6104	4694527,051
AL335	488304,1104	4693567,301
AL336	488700,6104	4694127,551
AL337	487911,6104	4693540,301
AL338	487145,5104	4690395,676
AL340	493958,8104	4693315,201
AL341	488378,6104	4693900,301
AL342	492364,6104	4691474,551
AL343	492400,6104	4691315,551
