codigo_def	UTMx	UTMy
GG3	494995,1544	4399775,119
GG4	495434,3012	4400116,294
GG5	495522,5611	4399911,461
GG1	495526,4254	4400887,405
GG2	495549,1044	4400966,248
GG8	498047,8779	4399847,253
GG7	499375,3108	4401280,186
GG6	499458,4787	4402003,546
GG10	499653,7887	4398797,83
GG9	499778,3612	4399101,894
GG11	500147,3759	4398802,412
GG180	490749,6518	4397589,502
GG179	491039,7582	4396921,794
GG162	491333,3054	4398414,912
GG178	491557,3092	4396554,413
GG175	491991,0657	4396742,61
GG116	492380,7338	4402981,084
GG117	492527,6658	4402881,511
GG23	492680,9032	4403061,866
GG177	492703,8223	4396892,334
GG133	492951,9344	4404961,21
GG160	493405,6602	4402573,668
GG161	493588,3715	4402636,928
GG114	493981,3385	4402328,462
GG170	493994,5343	4396438,221
GG128	494006,1674	4395855,028
GG112	494061,8213	4402255,512
GG113	494081,9223	4402544,029
GG24	494265,0875	4402456,319
GG119	494414,2695	4401892,88
GG183	494430,4955	4400944,358
GG115	494454,973	4402847,642
GG172	494481,8366	4397114,446
GG173	494485,249	4396753,835
GG165	494535,4595	4397293,173
GG163	494569,6857	4397274,829
GG108	494658,5023	4402303,671
GG111	494693,6665	4401915,939
GG167	494799,0502	4395947,245
GG102	494940,1721	4401977,367
GG31	495386,5637	4399624,206
GG118	495398,1042	4401431,591
GG88	495492,5198	4401578,494
GG29	495621,0228	4399567,061
GG20	495635,5128	4401266,098
GG125	495645,1417	4400460,266
GG86	495771,556	4401657,711
GG124	495782,1744	4400418,629
GG30	495845,1407	4399501,325
GG90	495882,8375	4401409,616
GG110	495903,1213	4399335,529
GG105	495917,6433	4401345,435
GG134	495931,4244	4404693,467
GG107	495935,359	4401339,308
GG109	495948,8248	4401349,366
GG32	495951,4958	4399788,788
GG39	496050,2561	4399984,393
GG33	496132,8255	4399593,96
GG35	496135,4951	4399182,867
GG40	496161,6083	4400204,304
GG34	496219,2712	4399412,082
GG22	496242,3932	4398768,872
GG16	496286,6545	4400938,583
GG36	496321,0165	4399180,165
GG21	496426,6946	4399663,206
GG38	496454,9719	4399914,828
GG96	496501,8037	4405015,123
GG85	496550,1904	4401991,089
GG121	496567,9203	4401185,552
GG37	496580,3082	4399730,966
GG120	496679,9631	4401376,775
GG78	496751,6389	4402141,722
GG19	496859,3458	4400703,994
GG41	496864,2222	4399490,998
GG95	496885,4876	4405587,083
GG123	496899,134	4401636,972
GG84	496961,8014	4402195,246
GG83	497108,1889	4402152,048
GG82	497119,7008	4402318,407
GG81	497150,0696	4402474,093
GG15	497167,5194	4400368,772
GG76	497172,7525	4402672,508
GG74	497190,0344	4402783,061
GG79	497194,6096	4401942,224
GG182	497233,7489	4394706,647
GG129	497237,9863	4403256,397
GG75	497276,6685	4402686,947
GG181	497298,1261	4394639,848
GG80	497325,4818	4401787,795
GG130	497443,0865	4403366,994
GG42	497641,0334	4399834,977
GG67	497682,9317	4402131,13
GG68	497739,9852	4402263,101
GG122	497771,8432	4400794,075
GG93	497795,3606	4401982,921
GG73	497838,353	4402893,961
GG72	497879,986	4402965,087
GG65	497958,3757	4402335,791
GG71	497972,8743	4403064,705
GG69	497972,8644	4402764,781
GG18	497980,5297	4401845,25
GG63	498013,1098	4402608,063
GG64	498100,5108	4402415,566
GG66	498114,873	4402030,099
GG27	498215,952	4398432,491
GG127	498268,5527	4401176,379
GG132	498283,3319	4405279,514
GG26	498290,1322	4398365,731
GG166	498369,5401	4397337,891
GG62	498475,4005	4401844,779
GG28	498512,7835	4398302,456
GG70	498547,0127	4402400,52
GG59	498591,6359	4401659,553
GG44	498614,5749	4400879,573
GG43	498694,4732	4400702,51
GG60	498704,5945	4401739,277
GG56	498741,578	4401468,663
GG13	498778,5136	4400454,97
GG131	498818,9057	4404304,049
GG57	498833,4885	4401678,507
GG61	498839,733	4402125,912
GG17	498874,9505	4399298,447
GG14	498919,2117	4400598,031
GG87	498941,1593	4398225,735
GG126	498959,9319	4401332,835
GG176	499091,0318	4396016,103
GG45	499138,7907	4400592,618
GG106	499166,6991	4405313,036
GG58	499203,5435	4401687,745
GG77	499233,4961	4402636,747
GG104	499236,9749	4406188,922
GG46	499326,2939	4400658,409
GG156	499359,0607	4399138,04
GG157	499419,6835	4399190,726
GG55	499445,6625	4399447,073
GG53	499534,4056	4399074,484
GG103	499545,0462	4406483,267
GG91	499594,4968	4401755,018
GG54	499599,8052	4399204,934
GG159	499600,7106	4398125,342
GG25	499638,2138	4399443,555
GG141	499697,234	4404405,061
GG92	499850,277	4402035,418
GG94	499889,3871	4402769,342
GG47	499946,0549	4400086,775
GG100	500016,2341	4405781,834
GG48	500084,7961	4400151,163
GG49	500133,9281	4400352,141
GG158	500241,2769	4398902,298
GG153	500256,3903	4397623,478
GG142	500338,332	4404684,132
GG50	500413,5605	4400536,056
GG12	500443,6174	4400190,514
GG52	500641,2931	4400130,188
GG51	500728,3555	4400431,421
GG174	501070,3495	4395686,442
GG89	501096,4792	4401051,152
GG154	501102,2198	4398182,842
GG171	501164,6311	4395622,705
GG143	501205,2878	4405382,654
