ID	UTMx	UTMy
"bCER24 Els Clots de Guils 18
Guils de Cerdanya"	403953,538	4703118,713
"bCER23 Els Clots de Guils 17
Guils de Cerdanya"	403955	4703073
"bCER21 Els Clots de Guils 15
Guils de Cerdanya"	403861,87	4703025,917
"bCER12 Els Clots de Guils 6
Ger"	401475	4701950
"bCER11 Els Clots de Guils 5
Ger"	401567,664	4701850,74
"bCER10 Els Clots de Guils 4
Ger"	401506,813	4701818,886
"bCER29 Els Clots de Guils 21
Ger"	401489,456	4701781,456
"bCER30 Els Clots de Guils 22
Ger"	401485,117	4701839,727
"bCER31 Els Clots de Guils 23
Ger"	401477,34	4701848,362
"bCER33 Els Clots de Guils 25 (=Els Clots X3)
Ger"	401458,002	4701855,086
"bCER7 Els Clots de Guils 1
Meranges"	401070,983	4701538,199
"bCER8 Els Clots de Guils 2
Meranges"	400983,911	4701702,808
"bCER9 Els Clots de Guils 3
Meranges"	401149	4701731
"bCER13 Els Clots de Guils 7
Ger"	401339,663	4702042,97
"bCER14 Els Clots de Guils 8
Guils de Cerdanya"	404291,381	4702607,616
"bCER15 Els Clots de Guils 9
Guils de Cerdanya"	404387,595	4702691,225
"bCER16 Els Clots de Guils 10
Guils de Cerdanya"	404496,526	4702834,24
"bCER17 Els Clots de Guils 11
Guils de Cerdanya"	404373,067	4702965,478
"bCER18 Els Clots de Guils 12
Guils de Cerdanya"	404023,938	4702602,09
"bCER19 Els Clots de Guils 13
Guils de Cerdanya"	404146,848	4702799,305
"bCER20 Els Clots de Guils 14
Guils de Cerdanya"	403851,01	4702929,754
"bCER22 Els Clots de Guils 16
Guils de Cerdanya"	403918,718	4703056,363
"bCER25 Els Clots de Guils 19
Guils de Cerdanya"	403873,11	4702605,802
"bCER26Els Clots de Guils 20
Guils de Cerdanya"	403908,855	4702563,25
"bCER27 Estany Sec
Meranges"	400362	4702485
"bCER28 Estany del Prat Fondal
Ger"	401110	4703306,712
"bCER32 Els Clots de Guils 24 (=Els Clots X1)
Ger"	401478	4702015
"bCER34 Els Clots de Guils 26 (=Els Clots X4)
Ger"	401472,284	4701862,693
"bCER35 Els Clots de Guils 27 (=Els Clots X5)
Ger"	401418,207	4701859,147
