ID	UTMx	UTMy
PNAE 12	508904,598	4673662,41
PNAE 11	508930,836	4673961,144
PNAE 6	509460,365	4675078,913
PNAE 5	509528,049	4675198,807
PNAE 2	509583,477	4675357,633
PNAE 4	509628,1	4675078,687
PNAE 3	509656,454	4675160,315
PNAE 7	509384,211	4675434,016
PNAE 1	509428,7	4675513,799
PNAE 8	509321,621	4675535,129
PNAE 9	509379,283	4675652,162
PNAE 10	509301,755	4675996,502
	507055,481	4678099,189
	507055,481	4678099,189
	507055,481	4678099,189
	506655,799	4677189,398
	506655,799	4677189,398
	506655,799	4677189,398
	508773,456	4675471,089
	508773,456	4675471,089
	508773,456	4675471,089
	508715,919	4675525,027
	508715,919	4675525,027
	508715,919	4675525,027
	508606,654	4675572,955
	508606,654	4675572,955
	508606,654	4675572,955
	508395,896	4675839,239
	508395,896	4675839,239
	508395,896	4675839,239
	508332,316	4675909,577
	508332,316	4675909,577
	508332,316	4675909,577
	508567,821	4675612,293
	508567,821	4675612,293
	508567,821	4675612,293
	510035,412	4678426,925
	510035,412	4678426,925
	510035,412	4678426,925
	509887,325	4678392,27
	509887,325	4678392,27
	509887,325	4678392,27
	510044,822	4678387,342
	510044,822	4678387,342
	510044,822	4678387,342
	510138,9	4678402,941
	510138,9	4678402,941
	510138,9	4678402,941
	510088,149	4678392,441
	510088,149	4678392,441
	510088,149	4678392,441
	510125,363	4678436,972
	510125,363	4678436,972
	510125,363	4678436,972
	510117,458	4678477,96
	510117,458	4678477,96
	510117,458	4678477,96
	510112,641	4678497,435
	510112,641	4678497,435
	510112,641	4678497,435
	510370,039	4678430,618
	510370,039	4678430,618
	510370,039	4678430,618
	510888,404	4678212,388
	510888,404	4678212,388
	510888,404	4678212,388
	510914,541	4678199,995
	510914,541	4678199,995
	510914,541	4678199,995
	510927,803	4678180,534
	510927,803	4678180,534
	510927,803	4678180,534
	510911,567	4678245,489
	510911,567	4678245,489
	510911,567	4678245,489
	510899,303	4678286,824
	510899,303	4678286,824
	510899,303	4678286,824
	510976,483	4678260,941
	510976,483	4678260,941
	510976,483	4678260,941
	510982,829	4678285,806
	510982,829	4678285,806
	510982,829	4678285,806
	511052,17	4678336,443
	511052,17	4678336,443
	511052,17	4678336,443
	508070,983	4674716,386
	508070,983	4674716,386
	508070,983	4674716,386
	508010,279	4674702,282
