"id"	"UTMx"	"UTMy"	"grado"	"cc"
"1"	1	668073.84	6208722	0.145090226829203	2.46108829726896e-05
"2"	2	667970.85	6208682.03	0.173063484649979	2.6648322851987e-05
"3"	3	667909.64	6208639.31	0.16438641666206	2.73462206945301e-05
"4"	4	668003.79	6208640.65	0.162753419189021	2.56489901428571e-05
"5"	5	667812.71	6208747.81	0.167248820566104	2.92179833418335e-05
"6"	6	667941.98	6208841.67	0.184363788358109	2.75578498526906e-05
"7"	7	668094.61	6208924.38	0.172662074906984	2.39290181220707e-05
"8"	8	666717.96	6208697.21	0.073974346606591	1.57743823150709e-05
"9"	9	666609.14	6208608.72	0.0951857069805479	1.43767050297507e-05
"10"	10	667195.98	6208748.62	0.111039760169007	2.31954477052046e-05
"11"	11	667136.84	6208884.92	0.103019004331347	2.20478346879349e-05
"12"	12	667244.38	6208841.31	0.125852781360031	2.40926342057464e-05
"13"	13	667282.93	6208901.68	0.127073244324052	2.44994458918589e-05
"14"	14	667353.79	6208931.64	0.12204825956543	2.53673422864902e-05
"15"	15	667460.51	6208832.26	0.12875981693101	2.7503031731574e-05
"16"	16	668308.17	6208955.38	0.0977166043108107	1.92114677757995e-05
"17"	17	668114.24	6208993.46	0.203054683321936	2.29370056655967e-05
"18"	18	668094.17	6208988.53	0.23552304902198	2.3420518462748e-05
"19"	19	668074.1	6208983.6	0.220475888727289	2.38886368040043e-05
"20"	20	668011.07	6208971.31	0.185948021556646	2.52687467864443e-05
"21"	21	667913.31	6209009.47	0.196928594737123	2.63371800358912e-05
"22"	24	668228.6	6208460.95	0.0967586137126418	1.9436060767942e-05
"23"	25	668051.51	6208392.38	0.122393489898372	2.16124502272014e-05
"24"	26	667930.13	6208401.01	0.165265094307492	2.36685148796879e-05
"25"	27	667852.76	6208385.61	0.218045447011208	2.43884703651404e-05
"26"	28	667746.99	6208301.59	0.178359198346075	2.32220941388086e-05
"27"	29	667669.12	6208241.32	0.131449700480563	2.18920699055041e-05
"28"	30	667516.14	6208274.89	0.119224179952195	2.20089396600941e-05
"29"	32	667646.84	6208426.69	0.14833999259553	2.57465673932934e-05
"30"	33	667447.96	6208383.59	0.124380626335992	2.34759754351325e-05
"31"	34	667269.51	6208355.41	0.102708090886307	2.08843085745096e-05
"32"	35	667341.57	6208270.05	0.103805266787863	2.04275348853246e-05
"33"	36	667887.08	6208977.31	0.231141123164685	2.72078185003989e-05
"34"	38	667848.47	6208910.54	0.258965358410325	2.8458922554654e-05
"35"	40	668025.98	6209210.61	0.106822008653281	2.12564686640711e-05
"36"	41	667776.37	6209043.12	0.143950814648116	2.67343182829116e-05
"37"	42	667822.27	6209195.81	0.112820392875488	2.34704415409263e-05
"38"	43	666972.88	6209521.21	0.0679776431168894	1.55397873045456e-05
"39"	44	666866.48	6209796.78	0.0641534332826814	1.29120158325951e-05
"40"	45	667082.62	6209693.52	0.0713835298220444	1.48097902538956e-05
"41"	46	667189.13	6209813.96	0.0689112713461895	1.41609224394245e-05
"42"	47	667106.41	6209924.63	0.0663705476411209	1.29743029286828e-05
"43"	48	666934.39	6210000.31	0.0618588625530922	1.18548200459729e-05
"44"	49	666756.63	6210116.01	0.0555254086493306	1.0544726142499e-05
"45"	50	666670.65	6210037.7	0.0549061077122112	1.06282976383467e-05
"46"	51	666734.26	6209242.7	0.0608663408256493	1.50834014258841e-05
"47"	55	667656.43	6208804.74	0.141563333689482	2.93751098154401e-05
"48"	56	667417.85	6208704.97	0.129939669377423	2.68913292362608e-05
"49"	60	667797.79	6208372.7	0.292310739123974	2.46285320118025e-05
"50"	91	666636.65	6208612.61	0.0978542621252191	1.46790862378933e-05
"51"	134	667366.46	6208493.36	0.118395885310945	2.41279624890343e-05
"52"	136	667773.68	6208362.77	0.90257665095208	2.45628384005635e-05
"53"	137	667824.86	6208361.85	0.244292550956361	2.41820826181578e-05
"54"	666	667507.56	6208642.75	0.133563479975376	2.77024518749251e-05
"55"	710	667877.14	6208422.57	0.191592377893691	2.47852004267411e-05
"56"	10006	667846.85	6208814.72	0.184478987615735	2.89852495894937e-05
"57"	10022	667903.44	6208945.58	0.287259808903161	2.74623017330908e-05
"58"	10038	667863.1275	6208908.5925	0.269941435668066	2.83485648877856e-05
"59"	20136	667775.68	6208364.77	0.730895762289762	2.45963352654342e-05
"60"	21022	667894.481666667	6208935.805	0.290675552066371	2.77031074811701e-05
"61"	30136	667771.68	6208360.77	0.721513812522031	2.45257064754269e-05
