UTMx	UTMy
517800	4177839
517883	4178139
518305	4178754
517960	4177859
518094	4178191
518262	4178548
518468	4178580
517777	4178757
518409	4178990
518303	4179068
518121	4179155
518200	4178046
519075	4180350
519131	4180273
519113	4180196
519052	4180085
519238	4179744
517809	4178900
517922	4178615
519745	4179394
519137	4179149
519119	4179234
519505	4179616
519481	4179498
519091	4179663
519142	4179013
519995	4178947
520093	4178919
519330	4179675
519955	4179000
519988	4179018
519941	4179017
517848	4178614
520019	4178886
518842	4178336
518790	4178440
518557	4178352
518267	4178213
518497	4178207
518766	4178243
518770	4178416
518234	4177920
518767	4178307
518641	4178332
518620	4178261
518807	4178175
519128	4178841
519268	4178904
519277	4178865
519351	4178870
519402	4178865
519373	4178825
519629	4178910
518649	4178698
518792	4178737
519016	4178753
519110	4178651
519279	4178613
519428	4178709
519611	4178771
519313	4178551
519247	4178528
519115	4178595
520037	4178794
519991	4178715
519893	4178631
519642	4178573
519416	4178487
519298	4178351
519487	4178155
520017	4178547
519927	4178257
519867	4177974
519734	4178384
519902	4178243
519214	4178368
519021	4178188
518839	4178111
519064	4178091
518979	4177992
518601	4177913
518406	4177946
518382	4177886
518463	4177825
518462	4177879
518798	4177869
519028	4177799
519149	4177859
519160	4177898
519331	4177935
519517	4177845
519661	4177685
519492	4177721
518092	4177824
517672	4177739
518080	4177670
518193	4177650
518225	4177693
518267	4177520
518253	4177002
518347	4176930
518343	4176748
518450	4176719
518386	4176683
518540	4176536
518560	4176492
518970	4176783
518862	4176784
518635	4177124
518657	4177149
518660	4177147
518658	4177146
518299	4177772
518676	4177730
518734	4177671
518849	4177691
519009	4177604
519096	4177583
519089	4177639
519124	4177670
519153	4177501
519346	4177559
519487	4177577
519623	4177423
519192	4177233
519138	4177292
519131	4177063
519075	4176904
519048	4177036
519119	4176934
518881	4177147
518560	4177613
518460	4177609
518397	4177601
518534	4177448
519200	4177366
519272	4177402
518764	4177355
519603	4177557
519598	4177335
519480	4177383
519358	4177089
518990	4177329
518960	4177295
519088	4177760
518944	4178179
